week,disease,state,cases,deaths,cfr,report_date,year,temperature_2m_mean,precipitation_sum,relative_humidity_2m_mean,who_country_cases,population,urban_percent,cases_last_week,deaths_last_week,cases_per_100k,rainfall_change,temp_anomaly,week_sin,week_cos
45,Covid-19,Enugu,0.0,0.0,0.0,2025-11-07,2025,26.660000000000004,0.0,39.2,0.0,213996181.0,51.958,0.0,0.0,0.0,0.0,0.0,-0.7485107481711011,0.6631226582407952
46,Covid-19,Enugu,2.0,0.0,0.0,2025-11-12,2025,26.660000000000004,0.0,39.2,0.0,213996181.0,51.958,0.0,0.0,0.0009345961178624959,0.0,0.0,-0.6631226582407955,0.7485107481711007
45,Monkeypox,F Continue Ipc Mentoring  Engagements Across States  Urther Dissemination Of Monkey  Pox Advisories Across Ipc  Networks At State And Health  Facilities,0.0,0.0,0.0,,2025,26.660000000000004,0.0,39.2,0.0,213996181.0,51.958,0.0,0.0,0.0,0.0,0.0,-0.7485107481711011,0.6631226582407952
45,Lassa,Federalministryof Environment,0.0,0.0,0.0,,2025,26.660000000000004,0.0,39.2,0.0,213996181.0,51.958,0.0,0.0,0.0,0.0,0.0,-0.7485107481711011,0.6631226582407952
1,Covid-19,Gombe,30.0,0.0,0.0,2020-01-01,2020,26.660000000000004,0.0,39.2,0.0,213996181.0,51.958,0.0,0.0,0.01401894176793744,0.0,-3.552713678800501e-15,0.12053668025532305,0.992708874098054
1,Covid-19,Gombe,5.0,0.0,0.0,,2020,26.660000000000004,0.0,39.2,0.0,213996181.0,51.958,9.0,0.0,0.0023364902946562396,0.0,-3.552713678800501e-15,0.12053668025532305,0.992708874098054
46,Covid-19,Gombe,9.0,0.0,0.0,2025-11-12,2025,26.660000000000004,0.0,39.2,0.0,213996181.0,51.958,30.0,0.0,0.004205682530381232,0.0,-3.552713678800501e-15,-0.6631226582407955,0.7485107481711007
1,Covid-19,Imo,1.0,0.0,0.0,2020-01-01,2020,26.660000000000004,0.0,39.2,0.0,213996181.0,51.958,0.0,0.0,0.00046729805893124795,0.0,0.0,0.12053668025532305,0.992708874098054
5,Lassa,Infection  Prevention And  Control And Safe  Burial,0.0,0.0,0.0,2023-02-05,2023,27.542857142857144,3.8,83.28571428571429,0.0,227882945.0,54.283,0.0,0.0,0.0,0.0,0.0,0.5680647467311558,0.8229838658936564
45,Lassa,Infectionprevention Andcontroland Safeburial,0.0,0.0,0.0,,2025,26.660000000000004,0.0,39.2,0.0,213996181.0,51.958,0.0,0.0,0.0,0.0,0.0,-0.7485107481711011,0.6631226582407952
1,Covid-19,Jigawa,2.0,0.0,0.0,2020-01-01,2020,26.660000000000004,0.0,39.2,0.0,213996181.0,51.958,0.0,0.0,0.0009345961178624959,0.0,0.0,0.12053668025532305,0.992708874098054
